net,length_um
u_interface.u_compute_core.scaled_data\[0\],65.615
u_interface.u_compute_core.mac_accum\[23\],64.78
u_interface.u_compute_core.scaled_valid,64.58
_0795_,64.49
_1646_,64.48
_0544_,64.21
_1570_,64.12
_2832_,63.61
_2601_,63.42
net50,63.3
u_interface.u_compute_core.relu_data\[12\],63.2
net17,62.76
net39,62.52
net36,62.48
u_interface.u_compute_core.mac_accum\[10\],62.1
u_interface.u_compute_core.u_av.product_reg\[9\],62.06
u_interface.u_compute_core.u_av.product_reg\[29\],61.92
_2592_,61.54
_2586_,61.32
_3014_,61.105
net126,60.78
_1790_,60.52
_0711_,60.46
u_interface.u_compute_core.mac_accum\[9\],60.28
net28,60.12
clknet_leaf_9_clk,60.12
_1142_,60.04
u_interface.u_compute_core.mac_accum\[19\],60.01
net18,59.64
u_interface.u_compute_core.scaled_data\[3\],59.335
_0767_,58.98
u_interface.u_compute_core.mac_accum\[24\],58.86
_1214_,58.72
net37,58.58
net9,58.515
u_interface.u_compute_core.mac_accum\[12\],58.36
u_interface.u_compute_core.u_mac.product_reg\[7\],58.26
_0546_,58.16
_0584_,57.88
u_interface.u_compute_core.mac_accum\[8\],57.86
_0870_,57.4
_0487_,57.26
u_interface.u_compute_core.scaled_data\[2\],57.185
_1806_,57.1
_1192_,57.04
_0918_,57.01
_1509_,57
_0409_,56.84
_0964_,56.8
_2930_,56.62
_2928_,56.6
net24,56.33
u_interface.u_compute_core.relu_data\[27\],55.87
_1002_,55.84
_1670_,55.36
u_interface.u_compute_core.u_av.product_reg\[15\],55.2
_1191_,55
_1077_,54.49
_0917_,54.38
net33,54.18
u_interface.core_attn_out\[3\],53.96
_1120_,53.88
net71,53.78
_0324_,53.71
_0665_,53.26
net41,53.06
u_interface.u_compute_core.relu_data\[20\],53.055
_1475_,53
_1801_,52.9
u_interface.u_compute_core.u_av.product_reg\[8\],52.46
_2863_,52
_1302_,51.985
_0286_,51.92
net95,51.72
clknet_leaf_6_clk,51.56
_1879_,51.52
_2110_,51.26
u_interface.u_compute_core.u_av.product_reg\[12\],51.2
_1644_,50.795
u_interface.u_compute_core.u_av.product_reg\[28\],50.72
_1597_,50.4
_0947_,50.27
_2655_,50.195
_0903_,49.86
u_interface.u_compute_core.mac_accum\[11\],49.8
_1878_,49.36
u_interface.u_compute_core.mac_accum\[13\],49.2
_2024_,48.96
_0807_,48.92
u_interface.u_compute_core.u_mac.product_reg\[14\],48.7
_0902_,48.68
_2079_,48.6
_1079_,48.5
net1,48.36
net55,48.34
net114,48.1
u_interface.u_compute_core.u_av.product_reg\[14\],48.04
_2660_,47.92
u_interface.u_compute_core.mac_accum\[3\],47.64
net60,47.62
net3,47.2
_1796_,47.06
net38,46.9
_2982_,46.8
_1190_,46.7
_0269_,46.66
_1031_,46.66
_1422_,46.52
_2113_,46.32
_1296_,46.04
net51,46.04
net40,45.86
_1514_,45.58
_1380_,45.52
_2023_,45.45
_1472_,45.08
u_interface.u_compute_core.scaled_data\[9\],44.995
_1067_,44.95
_0908_,44.42
_1374_,44.42
_1977_,44.42
u_interface.core_attn_out\[0\],44.3
_0910_,44.2
u_interface.u_compute_core.u_av.product_reg\[3\],44.12
_1963_,43.84
_1567_,43.68
clknet_leaf_1_clk,43.62
_2629_,43.54
_1812_,43.28
net13,43.28
_2784_,43.1
_0410_,43.06
_1827_,42.96
net82,42.9
_0810_,42.88
_0275_,42.79
clknet_leaf_3_clk,42.64
_1721_,42.48
u_interface.u_compute_core.u_av.product_reg\[16\],42.44
_1735_,42.4
_1748_,42.4
_1873_,42.32
_1381_,42.24
_3016_,42.22
_0635_,42.14
u_interface.u_compute_core.u_av.product_reg\[17\],42.1
_1971_,42.06
u_interface.u_compute_core.u_av.product_reg\[5\],41.86
_1358_,41.56
u_interface.u_compute_core.scaled_data\[1\],41.555
_0851_,41.4
_2108_,41.34
u_interface.u_compute_core.mac_accum\[4\],41.34
_1626_,41.08
_1656_,41.06
u_interface.core_attn_out\[4\],40.96
_1826_,40.82
_0850_,40.77
u_interface.u_compute_core.relu_data\[14\],40.46
_1493_,40.43
u_interface.u_compute_core.mac_accum\[5\],40.17
u_interface.u_compute_core.mac_accum\[30\],40.06
_1303_,39.84
_1143_,39.58
_2658_,39.52
_2887_,39.52
_0325_,39.24
_1205_,39.22
_1606_,39.18
u_interface.u_compute_core.relu_data\[3\],39.12
u_interface.u_compute_core.relu_data\[23\],39.095
clknet_leaf_5_clk,38.94
_1745_,38.84
_2843_,38.81
u_interface.u_compute_core.u_mac.product_reg\[11\],38.8
_0927_,38.66
_0414_,38.62
net42,38.56
_1600_,38.46
u_interface.u_compute_core.u_mac.product_reg\[13\],38.44
_1416_,38.32
_1440_,38.32
u_interface.core_attn_out\[9\],38.2
_1217_,38.14
u_interface.u_compute_core.u_av.product_reg\[6\],38.03
_1410_,37.8
_1446_,37.8
_1539_,37.72
_2286_,37.52
_1153_,37.44
_0657_,37.38
_1795_,37.34
_0222_,37.3
_1170_,37.3
_1789_,37.2
_1392_,36.92
_0371_,36.66
_0852_,36.6
_1241_,36.535
_1350_,36.5
_1588_,36.5
_1288_,36.18
_1594_,36.1
u_interface.u_compute_core.mac_accum\[6\],36
_0754_,35.81
_0608_,35.72
_0631_,35.72
_1719_,35.72
_0814_,35.6
_0310_,35.455
u_interface.u_compute_core.u_av.product_reg\[7\],35.34
_1227_,35.2
_0576_,35.18
_1057_,35.18
u_interface.u_compute_core.relu_data\[22\],34.96
_0907_,34.92
u_interface.u_compute_core.u_mac.product_reg\[9\],34.9
_0693_,34.86
_1728_,34.86
_1319_,34.5
u_interface.core_attn_out\[18\],34.5
_1438_,34.48
net52,34.48
_1586_,34.42
_1387_,34.4
_2641_,34.38
_0320_,34.36
_1351_,34.34
_1494_,34.3
u_interface.u_compute_core.u_av.product_reg\[25\],34.28
u_interface.core_attn_out\[22\],34.24
u_interface.u_compute_core.mac_accum\[26\],34.24
_0747_,34.18
u_interface.u_compute_core.u_av.product_reg\[18\],34.11
_2620_,34.06
_1404_,33.98
_0965_,33.92
_1765_,33.84
_1601_,33.82
u_interface.u_compute_core.mac_accum\[28\],33.68
_0281_,33.26
u_interface.u_compute_core.mac_accum\[25\],33.1
_1981_,33.06
_2048_,33.06
net32,33.02
u_interface.u_compute_core.mac_accum\[22\],32.935
_0768_,32.78
_0703_,32.68
u_interface.core_attn_out\[20\],32.57
_1845_,32.56
net49,32.56
u_interface.core_attn_out\[1\],32.44
net5,32.395
u_interface.u_compute_core.u_av.product_reg\[24\],32.35
u_interface.u_compute_core.scaled_data\[8\],32.135
_1344_,32.08
_1245_,32.06
net133,32.06
_1890_,32.04
_1510_,32.02
_2270_,31.96
u_interface.u_compute_core.u_av.product_reg\[23\],31.94
_1543_,31.9
u_interface.u_compute_core.u_mac.product_reg\[6\],31.82
u_interface.core_attn_out\[27\],31.68
_0793_,31.66
_1690_,31.66
_1130_,31.52
_2818_,31.44
u_interface.u_compute_core.u_mac.product_reg\[10\],31.42
net10,31.42
_1390_,31.36
_1889_,31.34
_0572_,31.24
net25,31.24
_1817_,31.18
net30,31.18
_1730_,31.14
u_interface.u_compute_core.relu_data\[10\],31.1
_1870_,31.08
u_interface.core_attn_out\[8\],31.04
u_interface.u_compute_core.mac_accum\[20\],31
_0894_,30.94
_1125_,30.9
net56,30.88
net53,30.8
_2824_,30.76
_2161_,30.72
_2021_,30.7
_2496_,30.6
_2058_,30.58
net23,30.4
_2176_,30.36
net120,30.36
_0721_,30.3
_0934_,30.3
net8,30.28
_1615_,30.24
_1248_,30.18
_0846_,30.14
u_interface.u_compute_core.u_av.product_reg\[26\],30
_0773_,29.98
_1974_,29.9
_1166_,29.86
u_interface.u_compute_core.u_av.product_reg\[4\],29.82
u_interface.u_compute_core.mac_accum\[29\],29.72
net127,29.72
_2246_,29.56
_1213_,29.54
_1749_,29.54
_0815_,29.5
net31,29.5
_0645_,29.48
_1314_,29.42
net29,29.42
_0649_,29.36
_1638_,29.36
_0946_,29.32
clknet_leaf_21_clk,29.32
_0593_,29.3
u_interface.core_attn_out\[16\],29.3
net48,29.26
u_interface.u_compute_core.u_av.product_reg\[21\],29.2
_0933_,29.16
_0949_,29.14
s_tdata[7],29.14
_2016_,29.08
_0942_,28.96
net4,28.94
_0623_,28.92
_1194_,28.92
_0796_,28.86
