net,length_um
_1848_,87.12
u_interface.u_compute_core.u_av.v_extended\[6\],86.82
_0551_,85.76
_2294_,85.245
u_interface.u_compute_core.relu_data\[8\],85.1
net20,84.64
net22,83.89
_2169_,83.24
clknet_4_13_0_clk,82.72
_2244_,82.655
net17,82.46
net24,82.3
_2161_,81.64
u_interface.u_compute_core.mac_accum\[9\],80.5
_1820_,80.28
u_interface.core_attn_out\[7\],79.52
clknet_4_9_0_clk,79.235
_2256_,79
_1944_,77.84
net25,77.655
net21,76.98
u_interface.u_compute_core.relu_data\[12\],76.26
net19,76.15
_0480_,76.1
_2178_,76.075
_0427_,75.46
_0450_,74.76
net14,74.69
_0438_,74.42
u_interface.u_compute_core.relu_data\[23\],74.1
_0436_,74.02
_2275_,73.75
u_interface.u_compute_core.u_mac.product_reg\[2\],73.26
_0940_,72.38
_1080_,72.28
u_interface.u_compute_core.mac_accum\[24\],71.34
u_interface.u_compute_core.relu_data\[22\],71.2
_0839_,71.09
net3,71.08
u_interface.u_compute_core.u_av.v_extended\[0\],69.84
_0446_,69.47
u_interface.u_compute_core.relu_data\[10\],69.37
u_interface.u_compute_core.mac_accum\[13\],68.8
net5,68.46
_2202_,67.4
_2064_,67.32
u_interface.u_compute_core.relu_data\[11\],66.66
u_interface.u_compute_core.mac_accum\[21\],66.42
_0835_,65.34
_1815_,65.19
net6,63.96
net10,63.8
u_interface.u_compute_core.mac_accum\[14\],63.68
_1719_,63.48
u_interface.u_compute_core.relu_data\[18\],62.955
u_interface.u_compute_core.relu_data\[21\],62.61
_0474_,62.37
u_interface.u_compute_core.relu_data\[24\],62.1
_0941_,61.85
net83,61.84
_1843_,61.62
_2163_,61.36
_0442_,61.18
u_interface.u_compute_core.u_mac.product_reg\[13\],60.96
net18,60.77
_1816_,60.76
u_interface.u_compute_core.relu_data\[20\],60.72
_0791_,60.47
u_interface.u_compute_core.mac_accum\[8\],60.18
_0693_,59.34
u_interface.u_compute_core.mac_accum\[15\],59.215
_2066_,58.3
_0219_,58.2
_1922_,58.04
_2067_,57.38
net7,56.53
u_interface.u_compute_core.relu_data\[3\],56.24
u_interface.u_compute_core.mac_accum\[16\],55.98
u_interface.u_compute_core.relu_data\[19\],55.74
u_interface.u_compute_core.mac_accum\[11\],55.64
u_interface.u_compute_core.mac_accum\[10\],55.32
_0343_,54.92
u_interface.u_compute_core.scaled_data\[7\],54.715
u_interface.u_compute_core.mac_accum\[17\],54.48
_0672_,54.27
net26,53.99
_0633_,53.68
u_interface.u_compute_core.relu_data\[4\],53.1
net27,52.62
_0884_,52.58
u_interface.u_compute_core.mac_accum\[20\],52.5
_0669_,52.44
u_interface.u_compute_core.u_av.v_extended\[2\],52.02
_1849_,51.96
_0695_,51.72
_0312_,51.56
_0931_,51.38
_1990_,51.12
net13,50.595
_0918_,50.12
u_interface.u_compute_core.relu_data\[0\],49.36
_1880_,49.06
u_interface.u_compute_core.relu_data\[2\],48.86
_0200_,48.62
u_interface.u_compute_core.u_av.v_extended\[10\],48.42
u_interface.u_compute_core.u_mac.product_reg\[10\],48.4
_0257_,48.34
_0416_,48.3
_0243_,47.75
_0703_,47.72
u_interface.u_compute_core.scaled_data\[1\],47.585
_1979_,47.35
u_interface.u_compute_core.u_mac.product_reg\[9\],47.275
_1464_,46.74
_0279_,46.62
u_interface.u_compute_core.mac_accum\[7\],46.42
_0740_,46.32
_0880_,46.22
net4,46.14
u_interface.core_attn_out\[9\],45.96
_1825_,45.84
u_interface.u_compute_core.u_mac.product_reg\[0\],45.56
u_interface.u_compute_core.relu_data\[25\],45.38
u_interface.u_compute_core.mac_accum\[18\],45.26
_0757_,45.24
_2165_,44.92
net15,44.705
_0833_,44.68
u_interface.u_compute_core.mac_accum\[12\],44.48
u_interface.u_compute_core.mac_accum\[25\],44.39
_1194_,44.2
_0278_,44.18
_0405_,44.14
u_interface.u_compute_core.mac_accum\[23\],44.02
_1368_,43.815
_2167_,43.74
_0342_,43.46
_0963_,43.3
_2225_,43.06
_0781_,42.95
u_interface.core_attn_out\[20\],42.72
_0467_,42.64
_0204_,42.58
u_interface.u_compute_core.u_mac.product_reg\[11\],42.37
u_interface.u_compute_core.u_mac.product_reg\[14\],42.3
_2312_,42.16
u_interface.core_attn_out\[5\],41.58
net16,41.46
net9,41.315
_0879_,41.26
u_interface.core_attn_out\[11\],40.73
u_interface.core_attn_out\[4\],40.62
u_interface.u_compute_core.mac_accum\[28\],40.58
_0867_,40.4
_0481_,40.32
_0313_,40.2
_1529_,39.84
_1293_,39.8
_0638_,39.4
_1059_,39.14
u_interface.core_attn_out\[6\],38.94
u_interface.u_compute_core.u_av.v_extended\[5\],38.92
_1102_,38.78
_1186_,38.68
_0221_,38.66
u_interface.u_compute_core.scaled_data\[2\],38.565
u_interface.core_attn_out\[8\],38.46
u_interface.core_attn_out\[15\],38.36
u_interface.u_compute_core.relu_data\[1\],38.34
u_interface.u_compute_core.mac_accum\[29\],38.32
u_interface.u_compute_core.u_mac.product_reg\[3\],38.04
u_interface.core_attn_out\[22\],37.96
_0699_,37.92
_1291_,37.9
_1144_,37.7
u_interface.u_compute_core.mac_accum\[5\],37.49
_1341_,37.34
_1972_,37.26
_0402_,37.2
u_interface.core_attn_out\[24\],37.04
_1175_,36.9
_0245_,36.6
_0656_,36.6
u_interface.core_attn_out\[21\],36.32
_0244_,36.22
u_interface.u_compute_core.mac_accum\[26\],35.94
u_interface.u_compute_core.mac_accum\[3\],35.9
u_interface.u_compute_core.mac_accum\[0\],35.82
_0348_,35.68
_0486_,35.54
_0820_,35.51
_1882_,35.38
_0967_,35.22
u_interface.core_attn_out\[10\],35.02
u_interface.core_attn_out\[2\],34.88
_1877_,34.72
u_interface.core_attn_out\[3\],34.64
net8,34.58
_0738_,34.56
_1217_,34.46
_1061_,34.42
_2287_,34.4
_1343_,34.3
_2096_,34.04
_0205_,33.96
_1653_,33.92
_0558_,33.86
_2121_,33.86
_0114_,33.845
_0517_,33.62
u_interface.core_attn_out\[25\],33.54
_2095_,33.52
u_interface.core_attn_out\[23\],33.38
_1548_,33.18
_0716_,33.14
u_interface.core_attn_out\[19\],33.12
_0779_,32.82
_0628_,32.6
_0470_,32.48
_1375_,32.14
_0673_,32.08
_1307_,32.02
_0629_,32
u_interface.u_compute_core.mac_accum\[4\],31.92
_1537_,31.7
u_interface.core_attn_out\[17\],31.64
_0945_,31.58
u_interface.u_compute_core.u_mac.product_reg\[4\],31.4
u_interface.u_compute_core.scaled_data\[3\],31.365
_1439_,31.32
u_interface.u_compute_core.mac_accum\[19\],31.12
u_interface.u_compute_core.mac_accum\[30\],30.94
u_interface.u_compute_core.mac_accum\[22\],30.82
u_interface.u_compute_core.scaled_data\[17\],30.665
_1006_,30.64
_0271_,30.42
u_interface.u_compute_core.mac_accum\[27\],30.4
_0381_,30.34
_0630_,30.24
_1196_,30.12
_0477_,30.1
u_interface.u_compute_core.u_mac.product_reg\[12\],30
net28,29.98
_1339_,29.96
_0929_,29.82
u_interface.u_compute_core.mac_accum\[6\],29.77
net46,29.72
_0916_,29.6
_0349_,29.58
_0237_,29.575
_0961_,29.32
_2222_,29.32
net53,29.26
_0627_,29.24
_1393_,29.18
_0735_,29.16
u_interface.core_attn_out\[27\],29.16
u_interface.u_compute_core.u_mac.product_reg\[1\],29.1
u_interface.u_compute_core.scaled_data\[9\],29.04
u_interface.core_attn_out\[14\],28.94
_0606_,28.92
_1682_,28.92
_0818_,28.86
_1242_,28.84
_1514_,28.84
_1117_,28.72
_1718_,28.72
_2257_,28.72
u_interface.core_attn_out\[13\],28.68
_0508_,28.66
_0464_,28.44
_0417_,28.34
_1440_,28.22
_0887_,28.2
_0701_,28.16
u_interface.core_attn_out\[12\],28.16
_1546_,28.06
_0717_,28.02
_1593_,27.92
u_interface.core_attn_out\[16\],27.92
_0562_,27.88
_1042_,27.82
_2314_,27.8
_0281_,27.66
u_interface.u_compute_core.scaled_data\[19\],27.625
_0268_,27.62
_0586_,27.6
_2183_,27.6
_0981_,27.52
_1717_,27.48
_0601_,27.44
u_interface.core_attn_out\[28\],27.34
_2194_,27.32
_0661_,27.18
u_interface.u_compute_core.mac_accum\[31\],27.14
_0222_,27.1
_0513_,26.98
_0518_,26.98
_1039_,26.98
_0597_,26.96
u_interface.core_attn_out\[18\],26.9
_0316_,26.86
u_interface.core_attn_out\[29\],26.86
_1609_,26.64
_1679_,26.62
u_interface.u_compute_core.scaled_data\[13\],26.545
_2078_,26.52
_0598_,26.32
_2254_,26.22
_2142_,25.99
_0231_,25.96
_0246_,25.86
_1355_,25.855
_1492_,25.82
_1146_,25.785
_2240_,25.78
_1386_,25.72
_2243_,25.7
_0899_,25.68
_2299_,25.63
u_interface.u_compute_core.scaled_data\[4\],25.565
_0896_,25.46
_1025_,25.46
_0603_,25.44
_0643_,25.4
_0946_,25.38
_2255_,25.34
_0516_,25.29
_0763_,25.26
_1086_,25.06
_1106_,24.9
_0487_,24.82
u_interface.u_compute_core.scaled_data\[22\],24.745
_0201_,24.72
_0393_,24.72
_0377_,24.54
u_interface.core_attn_out\[0\],24.46
_2101_,24.44
_0211_,24.4
u_interface.u_compute_core.mac_accum\[2\],24.4
_0345_,24.22
net12,24.14
_1241_,24.1
u_interface.u_compute_core.relu_valid,23.98
u_interface.u_compute_core.scaled_data\[14\],23.925
_0986_,23.9
net61,23.84
_0463_,23.78
_1591_,23.76
_0308_,23.75
_0270_,23.72
_1008_,23.7
_0249_,23.62
_0304_,23.62
_2171_,23.6
_1999_,23.55
_2298_,23.54
_2057_,23.52
_1493_,23.42
u_interface.u_compute_core.scaled_data\[25\],23.345
_2144_,23.2
_2224_,23.175
_0834_,23.16
_0803_,23.14
_1094_,23.06
_0848_,23.04
_2227_,22.96
_0877_,22.91
_0545_,22.9
_1507_,22.895
_1120_,22.86
u_interface.u_compute_core.scaled_data\[11\],22.845
_1374_,22.81
_1287_,22.76
_2179_,22.74
_1639_,22.72
_0746_,22.7
_1295_,22.63
u_interface.core_attn_out\[26\],22.5
_0507_,22.42
_1363_,22.28
_0469_,22.22
u_interface.u_compute_core.scaled_data\[12\],22.165
_0691_,22.14
_1270_,22.04
_0183_,21.98
_0501_,21.96
_1395_,21.94
u_interface.u_compute_core.scaled_data\[23\],21.925
_0490_,21.9
_2105_,21.86
_2090_,21.84
_0847_,21.78
_2191_,21.74
_2062_,21.72
_0764_,21.7
_0897_,21.7
_1484_,21.66
_1218_,21.6
_1455_,21.6
_0462_,21.48
_0706_,21.46
_2311_,21.45
_2023_,21.44
_2086_,21.34
_0209_,21.3
_0465_,21.26
_0774_,21.24
_1827_,21.16
_0315_,21.12
_2166_,21.12
_0521_,21.1
_0930_,21.08
_0841_,20.96
_0371_,20.92
_1525_,20.92
u_interface.u_compute_core.scaled_data\[28\],20.9
_1161_,20.88
_2016_,20.715
_0784_,20.7
_0218_,20.66
_0226_,20.64
_0522_,20.64
u_interface.core_attn_out\[31\],20.635
_0334_,20.58
_0485_,20.52
_1407_,20.48
_2237_,20.48
_2129_,20.4
_1568_,20.36
_0832_,20.32
_1145_,20.32
u_interface.u_compute_core.mac_accum\[1\],20.3
_0978_,20.295
_1040_,20.28
_0223_,20.24
_1100_,20.23
u_interface.u_compute_core.scaled_data\[8\],20.12
_1560_,20.1
_0584_,20.08
_2087_,20.08
_0719_,20.04
net41,20.04
_0610_,20
_1364_,20
_1366_,19.96
_0489_,19.94
net40,19.94
_0932_,19.88
u_interface.u_compute_core.scaled_data\[0\],19.82
_0557_,19.74
_0708_,19.7
_2040_,19.66
_2021_,19.65
_1150_,19.6
u_interface.u_compute_core.scaled_valid,19.58
_0543_,19.54
_1029_,19.535
_1108_,19.5
_2219_,19.46
_0838_,19.42
_2109_,19.42
_0766_,19.36
_0614_,19.34
_0255_,19.28
_2049_,19.26
u_interface.u_compute_core.scaled_data\[15\],19.225
_2270_,19.2
_1331_,19.16
u_interface.core_attn_out\[30\],19.135
_0761_,19.12
_0805_,19.12
_1633_,19.105
_0785_,19.08
_1055_,19.08
_0987_,19.04
_1302_,19.02
_0363_,19
u_interface.u_compute_core.u_mac.product_reg\[6\],19
_1173_,18.98
_1124_,18.92
_2157_,18.91
_1888_,18.88
_0346_,18.86
_0927_,18.84
_2074_,18.82
_0212_,18.8
_1079_,18.78
_1689_,18.78
_1297_,18.64
_1724_,18.62
_0546_,18.54
_2271_,18.52
_0759_,18.38
_0869_,18.33
_2213_,18.33
_0287_,18.32
_0802_,18.32
net45,18.3
_1164_,18.24
u_interface.u_compute_core.scaled_data\[24\],18.165
_1369_,18.14
_0749_,18.1
_1234_,18.1
_2180_,18.06
_1074_,18.04
_1199_,18.04
_1530_,18.04
_0974_,17.9
_1005_,17.88
u_interface.u_compute_core.scaled_data\[21\],17.825
_1517_,17.82
net60,17.8
_1482_,17.765
_0662_,17.74
_1082_,17.72
_1516_,17.66
_1285_,17.62
_2303_,17.6
_0307_,17.52
_0186_,17.44
_0339_,17.44
_1984_,17.44
net73,17.44
_1243_,17.38
_1443_,17.36
_1392_,17.3
_1028_,17.26
_2080_,17.23
_0261_,17.07
_0532_,17.06
_1052_,17.06
_1415_,17.04
_2107_,16.98
_0736_,16.92
_1445_,16.92
_1258_,16.88
_0973_,16.83
_0492_,16.82
_1245_,16.8
_1441_,16.78
u_interface.u_compute_core.u_mac.product_reg\[5\],16.78
_1655_,16.74
_0965_,16.72
_1595_,16.72
_1673_,16.72
_0413_,16.68
net11,16.68
_1468_,16.65
_0190_,16.64
_0293_,16.6
_1248_,16.58
_0747_,16.56
_0652_,16.54
_0322_,16.53
u_interface.u_compute_core.scaled_data\[16\],16.485
_0751_,16.48
_2106_,16.46
_1209_,16.42
_1547_,16.4
_0635_,16.36
_2136_,16.36
_2207_,16.34
_1997_,16.32
_0585_,16.3
_2266_,16.3
_2027_,16.28
_2210_,16.28
_0813_,16.26
_0851_,16.26
_1215_,16.22
_2315_,16.22
_1562_,16.2
_1235_,16.16
_0531_,16.12
_0360_,16.06
_2181_,16.06
_1034_,16.02
net43,16.02
_0331_,15.99
_0926_,15.95
_0933_,15.94
_1432_,15.94
_1730_,15.94
net44,15.94
u_interface.u_compute_core.scaled_data\[26\],15.9
_0948_,15.84
net38,15.84
_2125_,15.82
_2037_,15.8
_0650_,15.78
_2175_,15.78
_0552_,15.76
_1275_,15.76
_1483_,15.74
_0224_,15.72
_0233_,15.72
_1518_,15.72
_2088_,15.68
u_interface.u_compute_core.scaled_data\[10\],15.68
_2261_,15.64
_0328_,15.62
_0966_,15.62
_1268_,15.6
_1669_,15.6
_2008_,15.6
_1974_,15.54
_1610_,15.52
_1885_,15.52
_0888_,15.48
_1035_,15.48
_0611_,15.44
_0850_,15.44
_0792_,15.42
_0793_,15.42
_1496_,15.42
_1996_,15.395
_0977_,15.39
_2046_,15.38
_1065_,15.36
u_interface.u_compute_core.u_mac.product_reg\[8\],15.36
_1836_,15.34
_1585_,15.26
_1154_,15.22
_1531_,15.22
_2022_,15.18
_2238_,15.16
_0295_,15.11
_0776_,15.06
_1731_,15.04
_1372_,15.02
_0795_,14.98
_2124_,14.96
_0949_,14.92
_0767_,14.88
_1253_,14.88
_1646_,14.88
_1658_,14.88
_0570_,14.86
net59,14.86
_0604_,14.84
_1345_,14.8
_1276_,14.72
_1981_,14.72
_0387_,14.68
_0915_,14.6
_0975_,14.6
_1453_,14.6
_1574_,14.6
_1735_,14.6
_1313_,14.52
net39,14.52
_1668_,14.5
_1647_,14.46
_0644_,14.44
_2137_,14.44
_0280_,14.42
_0625_,14.42
_2269_,14.4
_0646_,14.34
_1305_,14.34
u_interface.u_compute_core.scaled_data\[20\],14.285
_0572_,14.28
net49,14.28
_1125_,14.2
_1021_,14.18
_2158_,14.18
_1353_,14.14
_1672_,14.12
_2223_,14.1
_0203_,14.04
_1206_,14.04
_2098_,14.04
_0001_,14.025
_0337_,14.02
_0493_,14.02
net29,13.96
_1651_,13.92
_2253_,13.92
_2293_,13.885
_1685_,13.88
_1512_,13.86
_1314_,13.84
_0319_,13.8
_0515_,13.8
_2052_,13.8
_2077_,13.8
_1362_,13.79
_2061_,13.775
_0902_,13.74
_1131_,13.72
_0299_,13.7
_0654_,13.68
_2118_,13.68
_1577_,13.66
_0471_,13.62
_1860_,13.62
u_interface.u_compute_core.scaled_data\[6\],13.615
_1687_,13.6
_0159_,13.595
_0698_,13.58
_1119_,13.56
_2048_,13.56
_2246_,13.54
_0853_,13.52
_1201_,13.52
_0750_,13.5
_1755_,13.5
_1989_,13.5
_0568_,13.48
_1147_,13.48
_1549_,13.48
_0113_,13.465
_0595_,13.46
_1170_,13.46
_1994_,13.44
_0258_,13.42
_1538_,13.42
_2011_,13.42
_2094_,13.42
_1566_,13.4
_1628_,13.38
_1700_,13.38
_0073_,13.365
_0235_,13.355
_0374_,13.34
_1377_,13.34
u_interface.u_compute_core.scaled_data\[18\],13.265
_0904_,13.26
net51,13.26
_0310_,13.22
_0506_,13.22
_1752_,13.22
net42,13.2
_1093_,13.18
_2206_,13.18
_0989_,13.16
_0875_,13.14
_1238_,13.12
net32,13.12
_0675_,13.1
_2054_,13.05
_0956_,13.04
_1325_,13.04
_1684_,13.04
_2305_,13.04
net58,13.04
_2042_,13.02
_2128_,13.02
_0002_,12.96
_0900_,12.96
_1707_,12.96
_1157_,12.88
_2146_,12.88
_1220_,12.8
_1456_,12.8
u_interface.u_compute_core.u_mac.product_reg\[7\],12.8
_2009_,12.78
_1153_,12.76
_2141_,12.76
_0857_,12.74
_0184_,12.73
_0510_,12.72
_0824_,12.72
_2059_,12.72
_0394_,12.68
_1264_,12.68
_1495_,12.68
_1598_,12.68
_1720_,12.68
_0670_,12.66
_0305_,12.62
_1743_,12.62
m_tdata[29],12.62
_1112_,12.6
net54,12.6
_0185_,12.58
_0306_,12.56
_1002_,12.52
_0756_,12.5
_0849_,12.5
_1470_,12.5
_0369_,12.46
_1121_,12.46
_2015_,12.44
_1326_,12.42
_1697_,12.42
_2185_,12.42
_0583_,12.4
_0641_,12.4
_2001_,12.4
_1271_,12.38
_1053_,12.36
_0239_,12.34
_1503_,12.34
net65,12.34
_2272_,12.32
_1921_,12.28
_0688_,12.24
_0682_,12.16
_0741_,12.16
_1109_,12.16
_1288_,12.16
_1469_,12.16
_1583_,12.16
_1018_,12.14
_1612_,12.14
_0592_,12.12
_2132_,12.12
_2282_,12.12
_0783_,12.06
_1333_,12.06
_0353_,12.04
_0197_,12.02
_2208_,12
net63,12
_0548_,11.98
_1671_,11.98
_0478_,11.96
_0534_,11.93
_0444_,11.92
_1045_,11.92
net55,11.92
_1317_,11.91
_0588_,11.9
_1024_,11.9
_1277_,11.9
_1690_,11.9
_0475_,11.88
_2014_,11.88
_1417_,11.86
_1561_,11.86
_1579_,11.84
_1282_,11.82
_1163_,11.8
_1033_,11.78
_1642_,11.78
s_tdata[20],11.78
_0621_,11.74
_0275_,11.72
_1823_,11.72
_0266_,11.68
net152,11.665
_1635_,11.66
_2189_,11.66
_0373_,11.62
_1875_,11.6
_1158_,11.58
_0528_,11.56
u_interface.u_compute_core.scaled_data\[27\],11.525
_0191_,11.5
_1340_,11.48
_2160_,11.48
_0240_,11.46
_1063_,11.46
_1114_,11.46
_1489_,11.44
_0193_,11.42
_0194_,11.42
_0842_,11.42
_1716_,11.38
_2241_,11.38
_1299_,11.34
_0789_,11.3
_0873_,11.3
_1975_,11.3
_2084_,11.3
_1691_,11.28
_1710_,11.26
m_tdata[28],11.24
_1461_,11.22
_1511_,11.2
_2233_,11.2
_0234_,11.18
_0488_,11.18
_0648_,11.18
_1162_,11.16
_1491_,11.16
_1532_,11.16
_0563_,11.12
_0659_,11.12
_1467_,11.12
_0526_,11.1
_2112_,11.1
_1427_,11.08
u_interface.u_compute_core.mac_last,11.08
_2117_,11.06
_0674_,11.04
_1060_,11.02
s_tdata[14],11.02
_1643_,11
_0519_,10.98
_0742_,10.98
_1191_,10.88
_1891_,10.88
_0969_,10.86
_1133_,10.86
_1261_,10.86
_1156_,10.84
_1204_,10.84
_1380_,10.84
_1995_,10.84
_0389_,10.82
_0822_,10.82
_1624_,10.82
net47,10.8
_0826_,10.78
_0982_,10.78
_1762_,10.78
_0505_,10.77
_1521_,10.76
_0302_,10.74
_0461_,10.74
_0891_,10.74
_1657_,10.74
net35,10.74
_1269_,10.72
_1751_,10.72
_2055_,10.72
_0395_,10.7
_1578_,10.7
_1012_,10.66
_1504_,10.66
_1403_,10.64
_0953_,10.62
_2065_,10.62
_1533_,10.6
_0297_,10.58
_1168_,10.58
_1430_,10.56
_1490_,10.56
_0565_,10.54
_1444_,10.54
_1515_,10.54
_1575_,10.54
_1356_,10.52
_0724_,10.5
_1141_,10.5
u_interface.u_compute_core.u_av.v_extended\[3\],10.5
_0274_,10.46
_0500_,10.44
net56,10.44
_0529_,10.42
_0599_,10.42
_1198_,10.42
_0372_,10.4
_0720_,10.4
_0797_,10.4
_1587_,10.4
_1746_,10.4
_1089_,10.38
_2291_,10.36
_0863_,10.33
_0686_,10.32
_1228_,10.32
_1602_,10.32
_1804_,10.32
_1982_,10.32
m_tdata[27],10.32
_0188_,10.3
_1757_,10.3
_2147_,10.3
_0788_,10.28
_0827_,10.28
_2154_,10.24
u_interface.u_compute_core.u_mac.product_reg\[15\],10.24
_1152_,10.22
_2295_,10.205
_0498_,10.2
_0602_,10.2
_0619_,10.2
_0214_,10.19
_0525_,10.16
_0527_,10.16
_1510_,10.16
_2069_,10.12
_2297_,10.12
_1091_,10.1
s_tdata[18],10.1
_0992_,10.08
_0581_,10.075
_1067_,10.06
net128,10.06
_0400_,10.04
_1501_,10.04
u_interface.u_compute_core.u_av.v_extended\[4\],10.04
_0264_,10.02
_1360_,9.98
_1830_,9.98
_0104_,9.96
_0647_,9.96
_1022_,9.96
net52,9.96
_1626_,9.94
_2199_,9.94
_0238_,9.92
_0895_,9.92
_1123_,9.92
_1176_,9.92
_0409_,9.9
_1043_,9.9
_1237_,9.9
_1192_,9.88
_2081_,9.88
_0712_,9.86
_1544_,9.86
_1792_,9.86
_2133_,9.855
_0333_,9.84
_1256_,9.84
_0566_,9.82
_0593_,9.82
_1048_,9.82
_1071_,9.82
_1988_,9.82
_2279_,9.82
_0830_,9.78
_1135_,9.74
_1296_,9.74
_1934_,9.74
_1977_,9.74
_2251_,9.74
m_tdata[26],9.74
_0846_,9.72
_1402_,9.72
_1400_,9.71
_0539_,9.7
_1095_,9.7
_1649_,9.7
_0030_,9.68
_0227_,9.64
s_tdata[0],9.64
s_tdata[1],9.64
s_tdata[3],9.64
s_tdata[6],9.64
s_tdata[7],9.64
_1111_,9.62
_1631_,9.62
_1662_,9.6
_2110_,9.6
_0356_,9.58
_1075_,9.58
_0998_,9.57
_0729_,9.56
_1174_,9.56
_2126_,9.56
_1236_,9.54
net1,9.54
_0367_,9.53
_1570_,9.52
_1908_,9.52
_1925_,9.52
_0292_,9.5
_1138_,9.5
net155,9.485
_0613_,9.48
_1396_,9.46
_2263_,9.46
_0671_,9.44
_0806_,9.44
_2306_,9.44
_0412_,9.42
_1480_,9.42
_2211_,9.42
_2148_,9.38
net130,9.38
_2083_,9.36
net34,9.36
_0290_,9.34
_0580_,9.34
_1426_,9.34
_0920_,9.32
_1764_,9.32
_1344_,9.3
_0294_,9.28
_0608_,9.28
_0677_,9.28
_0623_,9.26
_0799_,9.26
_1450_,9.26
_2228_,9.26
_0700_,9.24
_0778_,9.24
_1219_,9.24
_1424_,9.24
_1103_,9.2
_2209_,9.2
_0533_,9.16
_0567_,9.16
_0988_,9.16
_1854_,9.16
_2250_,9.16
_1259_,9.12
_1476_,9.12
_1629_,9.12
_2218_,9.115
net150,9.105
_1485_,9.07
_2018_,9.06
net132,9.06
_0523_,9.02
_1027_,9.02
_1357_,9.02
_1447_,9.02
_1563_,9
_0404_,8.98
_2012_,8.98
_2085_,8.98
_1044_,8.96
_1013_,8.94
_2214_,8.94
_0734_,8.93
_1590_,8.92
_1648_,8.92
_2248_,8.92
_0196_,8.9
_0365_,8.9
_0579_,8.9
_1605_,8.9
net95,8.9
_0267_,8.88
_1656_,8.88
_0341_,8.86
_0375_,8.86
_1385_,8.86
_2174_,8.86
_2316_,8.86
_1365_,8.84
_1556_,8.84
s_tdata[13],8.84
_0870_,8.82
_1073_,8.82
_1513_,8.82
_1701_,8.82
_0997_,8.8
_1383_,8.8
_0994_,8.76
s_tdata[12],8.72
s_tdata[15],8.72
s_tdata[16],8.72
s_tdata[17],8.72
s_tdata[19],8.72
s_tdata[2],8.72
s_tdata[4],8.72
s_tdata[5],8.72
_0229_,8.7
_1010_,8.7
_1303_,8.7
_1454_,8.7
_2239_,8.7
