net,length_um
clknet_0_clk,628.18
_1879_,389.78
_1813_,357.86
_1901_,335.58
_1953_,326.135
net62,309.88
_0434_,263.13
_0454_,240.58
_0420_,237.36
_0421_,235.61
_1812_,231.24
clknet_4_12_0_clk,225.74
_0447_,214.435
clk,213.39
u_interface.core_valid_out,207.14
_2006_,207.05
_0453_,202.18
_2026_,201.88
_2004_,200.48
_2032_,199.92
_0715_,196.56
_0435_,194.6
_0439_,193.92
_1811_,189.08
_0626_,187.98
_0443_,187.94
clknet_4_8_0_clk,185.3
_0432_,184.43
_0451_,180.75
_0468_,175.735
_1818_,172.58
_1832_,170.34
_0445_,169.25
_0713_,166.4
_1966_,162.86
_2003_,160.06
_0437_,158.98
clknet_4_1_0_clk,158.54
_0423_,158
_0424_,156.02
_1821_,155.895
_0428_,155.83
_1967_,155.28
_0689_,154.37
_2100_,153.275
clknet_4_7_0_clk,151.54
_1980_,149.78
_0483_,149.28
_1968_,148.9
_0431_,148.26
_0511_,144.91
_0457_,140.94
_1829_,140.485
_0938_,140.205
_0484_,139.715
_0460_,139.17
_1884_,137.4
_0639_,136.91
_2020_,135.95
_1838_,135.785
u_interface.u_compute_core.relu_data\[5\],135.7
clknet_4_4_0_clk,135.58
u_interface.u_compute_core.relu_data\[14\],135.37
_1835_,135.245
_1841_,135.24
clknet_4_5_0_clk,134.68
_1817_,132.16
_1887_,132.04
_0667_,131.555
_1973_,131.39
u_interface.u_compute_core.relu_data\[15\],131.34
_1862_,131
_1782_,130.48
_1871_,129.315
_2162_,128.84
_2068_,126.51
_1845_,126.41
_0430_,126.245
_1850_,126.095
_1856_,125.77
u_interface.u_compute_core.relu_data\[7\],125.14
_1760_,124.32
_0422_,123.54
_1824_,123.415
_1865_,122.41
_1853_,121.625
_0426_,119.88
_1859_,119.75
_1874_,119.575
_1868_,116.775
clknet_4_3_0_clk,114.175
_2168_,110.83
u_interface.u_compute_core.relu_data\[27\],109.775
_1893_,108.04
_1753_,107.98
_0441_,107.965
_0596_,107.66
_1814_,107.62
clknet_4_2_0_clk,106.18
_1969_,105.87
_0680_,105.76
_1931_,105.5
u_interface.u_compute_core.relu_data\[26\],105.44
_1246_,105.325
clknet_4_6_0_clk,105.075
_1775_,103.88
_0456_,103.54
_0058_,102.905
_1890_,102.6
net2,100.84
_0458_,100.5
_0459_,99.78
u_interface.u_compute_core.relu_data\[9\],99.44
u_interface.u_compute_core.relu_data\[16\],97.68
clknet_4_10_0_clk,96.75
_0449_,96.68
_2182_,95.47
u_interface.u_compute_core.relu_data\[17\],95.465
u_interface.u_compute_core.relu_data\[13\],95.42
clknet_4_0_0_clk,95.28
_2164_,95.24
_2220_,94.655
_2193_,93.915
u_interface.u_compute_core.relu_data\[6\],93.9
_0634_,93.89
_0418_,92.38
clknet_4_11_0_clk,91.16
_1909_,91.02
_2226_,90.455
_1197_,89.9
clknet_4_14_0_clk,89.64
clknet_4_15_0_clk,88.78
_1900_,88.5
u_interface.u_compute_core.u_av.v_extended\[1\],88.1
net23,87.95
_1742_,87.75
_1151_,87.585
